we_vote_id,ballot_item_display_name,party,contest_office_name,district_name,google_civic_election_id,state_code_2,twitter,Cluster
wv02cand60651,Tre Pennie,15,4414,2990,0,43,0.07822787737843655,68
wv02cand92859,Suzanne Harp,15,4414,2990,0,43,0.26239662578517065,68
wv87cand2302677,Asa Hutchinson,15,3647,3074,0,26,0.2697457790176221,87
wv87cand2302678,Nikki R Haley,15,3647,3074,0,26,0.22075020544543225,87
wv87cand2302679,Vivek Ramaswamy,15,3647,3074,0,26,0.053863884277928945,87
wv87cand2302680,Sherrod Brown,3,4416,2254,0,35,0.17631198138116913,34
wv87cand2302682,Joe Biden,3,3647,3074,0,26,0.2230122068973317,87
wv87cand2302683,Donald Trump,15,3647,3074,0,26,0.3056956141336803,87
wv87cand2302684,Ron Desantis,15,3647,3074,0,26,0.3332794019077056,87
wv87cand2302685,Matt Dolan,15,4416,2254,0,35,0.2544703670418528,34
wv87cand2302687,Bernie Moreno,15,4416,2254,0,35,0.2635079308802018,34
wv87cand2302688,Brian Hopkins,3,4414,953,0,9,0.19006119469375252,142
wv87cand2302689,Marcy Kaptur,3,4414,2269,0,35,0.2982946924852785,34
wv87cand2302690,Craig Riedel,15,4414,2269,0,35,0.27766995061022337,34
wv87cand2302691,Steve Lankenau,15,4414,2269,0,35,0.18644732468076353,34
wv87cand2302692,J.R. Majewski,15,4414,2269,0,35,0.03990530416630607,34
wv87cand2302693,Dan Wilczynski,25,4414,2269,0,35,-0.019878624737870117,34
wv87cand2302694,Madison Gesiotto Gilbert,15,4414,2258,0,35,0.03962546629357522,34
wv87cand2302695,Greg Wheeler,15,4414,2258,0,35,0.15142125637068987,34
wv87cand2302696,Roshan Chandrakumar,25,4414,2263,0,35,-0.019878624737870117,34
wv87cand2302697,William Farms,7,4414,2266,0,35,-0.019878624737870117,34
wv87cand2302698,Michael Corbin,15,4414,954,0,9,0.14715590633668604,142
wv87cand2302699,Stephen Thomas,3,4414,2264,0,35,0.12727914518361286,34
wv87cand2302700,Sean Freeman,7,4414,2256,0,35,-0.009077767843934617,34
wv87cand2302701,Liam Walker,4,4414,2258,0,35,-0.019878624737870117,34
wv87cand2302702,Alexander Cornwallis,3,4414,2993,0,43,0.27121839489121635,68
wv87cand2302703,Clifford Wiley,15,4414,2993,0,43,0.34741782975085106,68
wv87cand2302704,Pervez Agwan,3,4414,2994,0,43,0.19958028420424756,68
wv87cand2302705,Caroline Kane,15,4414,2994,0,43,0.3397100977205446,68
wv87cand2302706,John O'Shea,15,4414,2962,0,43,0.21154373012765118,68
wv87cand2302707,Victor Avila,15,4414,2974,0,43,0.22810941177927238,68
wv87cand2302708,Francine Ly,3,4414,2975,0,43,0.19094692036598548,68
wv87cand2302710,Matthew Lucci,15,4414,2976,0,43,0.2019231036028285,68
wv87cand2302711,Kelvin Leaphart,15,4414,2977,0,43,0.08997491972612914,68
wv87cand2302712,Kyle Sinclair,15,4414,2979,0,43,0.299723581492753,68
wv87cand2302713,Luis Fuentes,3,4414,2984,0,43,0.26870177507059373,68
wv87cand2302714,Gary Johnson,3,4414,33,0,1,-0.019878624737870117,23
wv87cand2302715,Austin Viuge,3,4414,34,0,1,0.3219604581653369,23
wv87cand2302716,Andrei Cherny,25,4414,140,0,3,0.3291285478596966,109
wv87cand2302717,Andrew Horne,3,4414,140,0,3,0.1536692183379703,109
wv87cand2302718,Kurt Kroemer,3,4414,140,0,3,0.1465334312142396,109
wv87cand2302719,Amish Shah,3,4414,140,0,3,0.1484839187578044,109
wv87cand2302720,Yassamin Ansari,3,4414,142,0,3,0.1970593662248652,109
wv87cand2302721,Raquel Terán,3,4414,142,0,3,0.2859056738800043,109
wv87cand2302722,Kelly Cooper,15,4414,143,0,3,0.2246587980867751,109
wv87cand2302723,Dave Giles,15,4414,143,0,3,0.4463129171018195,109
wv87cand2302724,Dom Waters,20,4414,579,0,5,0.06414035006883335,4
wv87cand2302725,Russ Andrews,15,4414,581,0,5,-0.019878624737870117,4
wv87cand2302726,Debby Burnett,3,4414,581,0,5,0.14388120133419904,4
wv87cand2302727,Adam Frisch,3,4414,581,0,5,0.3097928112455389,4
