we_vote_id,ballot_item_display_name,state_code,party,twitter_description,candidate_ultimate_election_date,contest_office_name,district_name,google_civic_election_id,state_code_2
wv02cand60651,Tre Pennie,tx,Republican,Candiate- U.S. House (R-TX CD3). President National Fallen Officer Foundation. Doctor of Education. Army Veteran. 22-year DPD Police Sergeant (Ret) #drtrepennie,20201103,U.S. Representative,Texas's 3rd congressional district,1000336,tx
wv02cand92859,Suzanne Harp,tx,Republican,Mom. Businesswoman. 6th-Generation Texan. America First Patriot Running for Congress in Texas's Third Congressional District.,20220301,U.S. Representative,Texas's 3rd congressional district,1000336,tx
wv87cand2302677,Asa Hutchinson,na,Republican,"Current: GOP Candidate for President. Husband, Dad, Papaw. Lifelong Arkansan. Former: 46th Gov of AR, Congressman, Admin. of DEA, Undersec. of Homeland Security",20241105,President of the United States,United States,1000336,na
wv87cand2302678,Nikki R Haley,na,Republican,"Former UN Ambassador and South Carolina Governor, Clemson Tiger. Running for POTUS. Fighting for a strong and proud America. 👊🏽🇺🇸",20241105,President of the United States,United States,1000336,na
wv87cand2302679,Vivek Ramaswamy,na,Republican,"U.S. Presidential Candidate. Speaking Hard Truths. Courage is Contagious.

Text JOIN to 84835",20241105,President of the United States,United States,1000336,na
wv87cand2302680,Sherrod Brown,oh,Democrat,Chairman of @SenateBanking. Proud to serve Ohio.,20241105,U.S. Senator,Ohio,1000336,oh
wv87cand2302682,Joe Biden,na,Democrat,"Husband to @DrBiden, proud father and grandfather. Ready to build back better for all Americans. Official account is @POTUS.",20241105,President of the United States,United States,1000336,na
wv87cand2302683,Donald Trump,na,Republican,45th President of the United States of America🇺🇸,20241105,President of the United States,United States,1000336,na
wv87cand2302684,Ron Desantis,na,Republican,46th Governor of the great state of Florida.,20241105,President of the United States,United States,1000336,na
wv87cand2302685,Matt Dolan,oh,Republican,This is my State Senate activity and issue account. For the latest updates on my campaign for U.S. Senate follow @Dolan4Ohio,20241105,U.S. Senator,Ohio,1000336,oh
wv87cand2302687,Bernie Moreno,oh,Republican,"Husband, father, grandfather, businessman who is grateful to God for parents that brought me to America. Candidate for US Senate.",20241105,U.S. Senator,Ohio,1000336,oh
wv87cand2302688,Brian Hopkins,ga,Democrat,Candidate for GA’s 6th Congressional District. Writer & Businessman. Pro-Women https://t.co/g7KjHQBPPr… #BrianHopkinsforCongress,20241105,U.S. Representative,Georgia's 6th congressional district,1000336,ga
wv87cand2302689,Marcy Kaptur,oh,Democrat,Honored to serve the hardworking families of Ohio's 9th District. Longest-serving woman in history of Congress. Ranking Member on Energy & Water @AppropsDems.,20241105,U.S. Representative,Ohio's 9th congressional district,1000336,oh
wv87cand2302690,Craig Riedel,oh,Republican,"Conservative Former State Representative, Husband, Dad, Grandpa, Worked 27 years in the steel industry. Running for Congress in OH-9",20241105,U.S. Representative,Ohio's 9th congressional district,1000336,oh
wv87cand2302691,Steve Lankenau,oh,Republican,Proven Job Creator. Conservative Outsider. Proud Father & Ohioan. Republican for Congress in OH-09. https://t.co/eo5EfHnfNk to Join our Team & Donate,20241105,U.S. Representative,Ohio's 9th congressional district,1000336,oh
wv87cand2302692,J.R. Majewski,oh,Republican,Veteran | Nuclear Energy Industry Leader | 2022 GOP Congressional Nominee OH09,20241105,U.S. Representative,Ohio's 9th congressional district,1000336,oh
wv87cand2302693,Dan Wilczynski,oh,,,20241105,U.S. Representative,Ohio's 9th congressional district,1000336,oh
wv87cand2302694,Madison Gesiotto Gilbert,oh,Republican,@GOP National Spokeswoman | Wife | Mom | Attorney | Former Miss Ohio USA,20241105,U.S. Representative,Ohio's 13th congressional district,1000336,oh
wv87cand2302695,Greg Wheeler,oh,Republican,Principled leader running for Congress #OH13,20241105,U.S. Representative,Ohio's 13th congressional district,1000336,oh
wv87cand2302696,Roshan Chandrakumar,oh,,,20241105,U.S. Representative,Ohio's 3rd congressional district,1000336,oh
wv87cand2302697,William Farms,oh,Independent,,20241105,U.S. Representative,Ohio's 6th congressional district,1000336,oh
wv87cand2302698,Michael Corbin,ga,Republican,"Michael Allen Corbin REPUBLICAN Candidate, U.S. House Georgia District 7 https://t.co/c0YSKAVq4l…",20241105,U.S. Representative,Georgia's 7th congressional district,1000336,ga
wv87cand2302699,Stephen Thomas,oh,Democrat,Congressional candidate running against Jim Jordan. I'm working to protect our civil liberties and build a better Ohio. Donate today! ⬇️,20241105,U.S. Representative,Ohio's 4th congressional district,1000336,oh
wv87cand2302700,Sean Freeman,oh,Independent,Have a good one,20241105,U.S. Representative,Ohio's 11th congressional district,1000336,oh
wv87cand2302701,Liam Walker,oh,George Wallace Party,,20241105,U.S. Representative,Ohio's 13th congressional district,1000336,oh
wv87cand2302702,Alexander Cornwallis,tx,Democrat,"Democratic Nominee for the Texas State Board of Education District 12 | Election Day, Nov 8th, 2022",20241105,U.S. Representative,Texas's 6th congressional district,1000336,tx
wv87cand2302703,Clifford Wiley,tx,Republican,"I am a conservative Republican, a patriot and Christian. I am running for Congress in 2024 as a representative for Texas' 6th Congressional district.",20241105,U.S. Representative,Texas's 6th congressional district,1000336,tx
wv87cand2302704,Pervez Agwan,tx,Democrat,"Running for Congress in the newly drawn #TX07. Fighting for a just, equitable, & sustainable Houston. Unapologetically Progressive Dem. Muslim. Houstonian. Dad.",20241105,U.S. Representative,Texas's 7th congressional district,1000336,tx
wv87cand2302705,Caroline Kane,tx,Republican,"America First, Constitutional Conservative Candidate for Texas' 7th Congressional District.  Smaller Government FOR and BY the people. Psalms 75:7",20241105,U.S. Representative,Texas's 7th congressional district,1000336,tx
wv87cand2302706,John O'Shea,tx,Republican,"Candidate for Congress in Texas' 12th District.

Logical Business Man, Constitutionalist & Patriot Running to Unseat RINO Kay Granger.

God. Family. Country.",20241105,U.S. Representative,Texas's 12th congressional district,1000336,tx
wv87cand2302707,Victor Avila,tx,Republican,"HSI-ICE Special Agent, Ret. Author. Father. Husband. Republican Candidate for Texas’ 23rd Congressional District.",20241105,U.S. Representative,Texas's 23rd congressional district,1000336,tx
wv87cand2302708,Francine Ly,tx,Democrat,"Grassroots leader, blessed mom of 4, Proud Texan, Democratic Candidate for TX CD-24 #Refugee #FlipTX24",20241105,U.S. Representative,Texas's 24th congressional district,1000336,tx
wv87cand2302710,Matthew Lucci,tx,Republican,"Grassroots Conservative and Republican Candidate for #TX25
Mechanical Engineering Professor and CEO/CTO of @Runatek
#EndTheOpioidCrisis | #1A | #2A | #ProLife",20241105,U.S. Representative,Texas's 25th congressional district,1000336,tx
wv87cand2302711,Kelvin Leaphart,tx,Republican,"Running for Congress, TX-26 (Denton, Cooke, & Wise Co.) 
Corporations are not people.💵 isn't speech. 💯% people-funded. 
No lobbyists/No PACs.",20241105,U.S. Representative,Texas's 26th congressional district,1000336,tx
wv87cand2302712,Kyle Sinclair,tx,Republican,"Native Texan, Father of eight, Healthcare Executive and Army Veteran, Republican for Tx US Congressional District 28!",20241105,U.S. Representative,Texas's 28th congressional district,1000336,tx
wv87cand2302713,Luis Fuentes,tx,Democrat,U.S. Congressional Candidate for TX-33 Fighting for the working class in Dallas + Fort Worth. People funded grassroots candidate #PeopleOverProfit.,20241105,U.S. Representative,Texas's 33rd congressional district,1000336,tx
wv87cand2302714,Gary Johnson,al,Democrat,,20241105,U.S. Representative,Alabama's 1st congressional district,1000336,al
wv87cand2302715,Austin Viuge,al,Democrat,Democrat running for Congress in AL-02. A voice for the people.,20241105,U.S. Representative,Alabama's 2nd congressional district,1000336,al
wv87cand2302716,Andrei Cherny,az,,"Dad, husband, candidate for Congress (AZ-01). Fighting for Truth, Justice, and the American Way.",20241105,U.S. Representative,Arizona's 1st congressional district,1000336,az
wv87cand2302717,Andrew Horne,az,Democrat,"I am an Arizona Native who is fighting to lower costs for Arizona families, create great-paying jobs, and make Washington work better for Arizona. #AZ01",20241105,U.S. Representative,Arizona's 1st congressional district,1000336,az
wv87cand2302718,Kurt Kroemer,az,Democrat,"Democrat for Congress in #AZ01 to ban corporate PAC’s, expand access to healthcare, and protect abortion rights | Non-profit CEO, champion cyclist, 🐕 lover",20241105,U.S. Representative,Arizona's 1st congressional district,1000336,az
wv87cand2302719,Amish Shah,az,Democrat,ER Doc. Concerned Citizen. Arizona House of Representatives LD5. Congressional Candidate CD1. #AmishForArizona,20241105,U.S. Representative,Arizona's 1st congressional district,1000336,az
wv87cand2302720,Yassamin Ansari,az,Democrat,Democrat running for Congress #AZ03. Phoenix Vice Mayor representing @district7phx⚡️Former @UN climate advisor. Daughter of immigrants.,20241105,U.S. Representative,Arizona's 3rd congressional district,1000336,az
wv87cand2302721,Raquel Terán,az,Democrat,"Mother, wife, and community advocate
Running to represent Arizona’s 3rd District. Fighting for Medicare for All, a green future, & bold solutions for Arizonans.",20241105,U.S. Representative,Arizona's 3rd congressional district,1000336,az
wv87cand2302722,Kelly Cooper,az,Republican,"Running for Congress - District 4. A Marine Corps veteran, local business, and community leader. People over politics and compassion - not ideology.",20241105,U.S. Representative,Arizona's 4th congressional district,1000336,az
wv87cand2302723,Dave Giles,az,Republican,"Conservative Republican running for Congress in the 4th Congressional District of Arizona. Keep building the economy, the wall and support the 2nd Amendment.",20241105,U.S. Representative,Arizona's 4th congressional district,1000336,az
wv87cand2302724,Dom Waters,co,Unity Party,Fed-up House Candidate for gov. reform. Let's raise some hell. #propeace #anticapitalism #freeassange #freesnowden #freepeltier #endcorruption #UBI #M4A No DMs,20241105,U.S. Representative,Colorado's 1st congressional district,1000336,co
wv87cand2302725,Russ Andrews,co,Republican,,20241105,U.S. Representative,Colorado's 3rd congressional district,1000336,co
wv87cand2302726,Debby Burnett,co,Democrat,Native Coloradan. Proud mom. Veterinarian. Physical Therapist. Hay Baler & rural voter running to represent Colorado's 3rd District in Congress.,20241105,U.S. Representative,Colorado's 3rd congressional district,1000336,co
wv87cand2302727,Adam Frisch,co,Democrat,"Candidate for Congress in Colorado's 3rd District. 

Father, husband, and common-sense businessman running to unseat Lauren Boebert.",20241105,U.S. Representative,Colorado's 3rd congressional district,1000336,co
wv87cand2302728,David Karpas,co,Democrat,,20241105,U.S. Representative,Colorado's 3rd congressional district,1000336,co
wv87cand2302729,Gary Swing,co,Unity Party Of Colorado,"Unity Party candidate for Congress (CO-3). Former Green. 2020 Boiling Frog Party candidate for President of Vermont. 

Freethinker & Adventurer. Peaks & Trails.",20241105,U.S. Representative,Colorado's 3rd congressional district,1000336,co
wv87cand2302730,Ike McCorkle,co,Democrat,100% Grassroots funded & people-powered RUN for Congress against right wing apologist & Corporate PAC Owned YES MAN RepKenBuck. JOBS PENSIONS HEALTHCARE,20241105,U.S. Representative,Colorado's 4th congressional district,1000336,co
wv87cand2302731,John Padora,co,Democrat,"Candidate for US congress (CD-4)
Husband, Father, Engineer, Environmental Scientist, Addiction/Recovery Advocate & Progressive Political Activist",20241105,U.S. Representative,Colorado's 4th congressional district,1000336,co
wv87cand2302732,Justin Schreiber,co,Republican,,20241105,U.S. Representative,Colorado's 4th congressional district,1000336,co
wv87cand2302733,Khaleb Dammen,co,Republican,,20241105,U.S. Representative,Colorado's 6th congressional district,1000336,co
wv87cand2302734,Chris Murphy,ct,Democrat,U.S. Senator from Connecticut.,20241105,U.S. Senator,Connecticut,1000336,ct
